timestamp,service,endpoint,region,latency_ms,cpu_usage,memory_usage,queue_lag,status,error_code,severity,error_count,is_anomaly,ewma_latency,expected_base_latency,latency_deviation,ewma_latency_deviation_for_alert,ewma_alert,logdate,cusum,cusum_alert,combined_alert,persistence_score,incident_probability,priority,anomaly_score,ml_anomaly
2026-01-01 00:00:00,1,0,2,172,66.23,51.53,3,3,2,1,0,0,172.0,200,28,28.0,False,0,4.31,False,False,0,0.2,1,1,0
2026-01-01 00:00:30,0,0,3,86,47.38,70.32,3,3,2,1,0,0,121.41,80,6,15.06,False,0,0.0,False,False,0,0.14,1,1,0
2026-01-01 00:01:00,6,2,4,104,66.27,71.41,10,3,2,1,0,0,113.46,100,4,10.01,False,0,0.0,False,False,0,0.2,1,1,0
2026-01-01 00:01:30,1,5,1,222,51.28,43.71,7,3,2,1,0,0,156.31,200,22,14.74,False,0,0.0,False,False,0,0.15,1,1,0
2026-01-01 00:02:00,0,1,3,100,44.04,56.67,5,3,2,1,0,0,136.0,80,20,16.64,False,0,0.0,False,False,0,0.13,1,1,0
2026-01-01 00:02:30,6,2,3,122,49.65,67.35,7,3,2,1,0,0,131.24,100,22,18.46,False,0,0.0,False,False,0,0.15,1,1,0
2026-01-01 00:03:00,4,5,3,142,58.23,67.21,5,3,2,1,0,0,134.76,150,8,15.04,False,0,0.0,False,False,0,0.17,1,1,0
2026-01-01 00:03:30,1,2,4,217,54.3,52.18,5,3,2,1,0,0,160.94,200,17,15.66,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:04:00,5,4,2,120,58.91,76.76,7,3,2,1,0,0,148.14,120,0,10.77,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:04:30,0,1,2,65,50.27,72.02,2,3,2,1,0,0,122.47,80,15,12.07,False,0,0.0,False,False,0,0.15,1,1,0
2026-01-01 00:05:00,1,0,4,184,54.59,65.7,2,3,2,1,0,0,141.3,200,16,13.28,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:05:30,4,2,0,182,60.81,38.85,3,3,2,1,0,0,153.68,150,32,18.97,False,0,8.31,False,False,0,0.18,1,1,0
2026-01-01 00:06:00,6,2,0,102,45.94,73.85,6,3,2,1,0,0,138.03,100,2,13.83,False,0,0.0,False,False,0,0.14,1,1,0
2026-01-01 00:06:30,6,5,0,78,52.46,75.19,7,3,2,1,0,0,119.9,100,22,16.3,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:07:00,1,5,2,172,55.3,59.55,0,3,2,1,0,0,135.6,200,28,19.83,False,0,4.31,False,False,0,0.17,1,1,0
2026-01-01 00:07:30,2,6,1,158,46.6,55.94,5,3,2,1,0,0,142.34,130,28,22.29,False,0,8.62,False,False,0,0.14,1,1,0
2026-01-01 00:08:00,1,5,1,187,52.5,67.42,2,3,2,1,0,0,155.77,200,13,19.49,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:08:30,2,6,0,156,51.39,48.46,4,3,2,1,0,0,155.84,130,26,21.45,False,0,2.31,False,False,0,0.15,1,1,0
2026-01-01 00:09:00,4,2,4,131,53.05,67.78,5,3,2,1,0,0,148.38,150,19,20.71,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:09:30,1,0,0,179,59.24,46.66,4,3,2,1,0,0,157.57,200,21,20.8,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:10:00,3,2,1,77,49.33,44.06,4,3,2,1,0,0,133.39,70,7,16.66,False,0,0.0,False,False,0,0.15,1,1,0
2026-01-01 00:10:30,3,2,4,90,40.1,77.32,25,2,2,2,4,1,120.37,70,20,17.66,False,0,0.0,False,False,0,0.24,1,-1,1
2026-01-01 00:11:00,5,4,0,77,62.94,42.12,6,3,2,1,0,0,107.35,120,43,25.26,False,0,19.31,False,False,0,0.19,1,1,0
2026-01-01 00:11:30,2,3,2,136,69.41,39.37,4,3,2,1,0,0,115.95,130,6,19.48,False,0,1.62,False,False,0,0.21,1,1,0
2026-01-01 00:12:00,5,3,0,75,52.91,75.93,8,3,2,1,0,0,103.66,120,45,27.14,False,0,22.93,False,False,0,0.16,1,1,0
2026-01-01 00:12:30,6,2,3,119,49.65,56.01,4,3,2,1,0,0,108.26,100,19,24.7,False,0,18.24,False,False,0,0.15,1,1,0
2026-01-01 00:13:00,0,0,3,84,54.66,62.67,5,3,2,1,0,0,100.98,80,4,18.49,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:13:30,1,2,3,212,52.39,57.43,5,3,2,1,0,0,134.29,200,12,16.54,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:14:00,2,4,4,129,58.09,54.31,5,3,2,1,0,0,132.7,130,1,11.88,False,0,0.0,False,False,0,0.17,1,1,0
2026-01-01 00:14:30,4,2,4,164,47.6,55.72,6,3,2,1,0,0,142.09,150,14,12.52,False,0,0.0,False,False,0,0.14,1,1,0
2026-01-01 00:15:00,4,6,1,152,58.91,56.3,5,3,2,1,0,0,145.06,150,2,9.36,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:15:30,0,0,4,31,61.52,67.65,1,3,2,1,0,0,110.85,80,49,21.25,False,0,25.31,False,False,0,0.18,1,1,0
2026-01-01 00:16:00,2,4,2,133,59.83,56.17,1,3,2,1,0,0,117.49,130,3,15.78,False,0,4.62,False,False,0,0.18,1,1,0
2026-01-01 00:16:30,5,4,1,145,60.77,63.29,4,3,2,1,0,0,125.74,120,25,18.54,False,0,5.93,False,False,0,0.18,1,1,0
2026-01-01 00:17:00,1,0,1,207,61.42,44.09,7,3,2,1,0,0,150.12,200,7,15.08,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:17:30,3,2,1,87,46.75,71.26,4,3,2,1,0,0,131.18,70,17,15.66,False,0,0.0,False,False,0,0.14,1,1,0
2026-01-01 00:18:00,1,5,3,204,54.44,52.69,1,3,2,1,0,0,153.03,200,4,12.16,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:18:30,1,0,3,243,61.38,64.34,5,3,2,1,0,0,180.02,200,43,21.41,False,0,19.31,False,False,0,0.18,1,1,0
2026-01-01 00:19:00,2,6,4,105,46.47,39.71,4,3,2,1,0,0,157.51,130,25,22.49,False,0,20.62,False,False,0,0.14,1,1,0
2026-01-01 00:19:30,6,4,1,120,42.29,53.38,1,3,2,1,0,0,146.26,100,20,21.74,False,0,16.93,False,False,0,0.13,1,1,0
2026-01-01 00:20:00,6,2,1,90,66.36,75.99,8,3,2,1,0,0,129.38,100,10,18.22,False,0,3.24,False,False,0,0.2,1,1,0
2026-01-01 00:20:30,1,5,4,178,66.29,52.58,6,3,2,1,0,0,143.97,200,22,19.35,False,0,1.55,False,False,0,0.2,1,1,0
2026-01-01 00:21:00,1,2,0,209,64.18,71.48,5,3,2,1,0,0,163.48,200,9,16.25,False,0,0.0,False,False,0,0.19,1,1,0
2026-01-01 00:21:30,5,4,2,127,56.53,72.85,5,3,2,1,0,0,152.53,120,7,13.47,False,0,0.0,False,False,0,0.17,1,1,0
2026-01-01 00:22:00,5,3,4,135,66.03,46.39,6,3,2,1,0,0,147.27,120,15,13.93,False,0,0.0,False,False,0,0.2,1,1,0
2026-01-01 00:22:30,1,2,3,185,59.29,57.6,5,3,2,1,0,0,158.59,200,15,14.25,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:23:00,5,4,2,151,61.45,53.4,6,3,2,1,0,0,156.31,120,31,19.28,False,0,7.31,False,False,0,0.18,1,1,0
2026-01-01 00:23:30,1,0,3,227,61.61,48.01,6,3,2,1,0,0,177.52,200,27,21.59,False,0,10.62,False,False,0,0.19,1,1,0
2026-01-01 00:24:00,2,3,0,180,56.47,50.87,10,3,2,1,0,0,178.26,130,50,30.12,False,0,36.93,False,False,0,0.17,1,1,0
2026-01-01 00:24:30,4,2,1,188,51.53,60.0,4,3,2,1,0,0,181.18,150,38,32.48,True,0,51.24,False,True,1,0.16,1,1,0
2026-01-01 00:25:00,0,0,3,67,57.12,52.6,3,3,2,1,0,0,146.93,80,13,26.64,False,0,40.55,False,False,0,0.17,1,1,0
2026-01-01 00:25:30,1,2,1,209,56.6,74.23,2,3,2,1,0,0,165.55,200,9,21.35,False,0,25.86,False,False,0,0.17,1,1,0
2026-01-01 00:26:00,2,3,3,143,53.06,51.59,5,3,2,1,0,0,158.79,130,13,18.84,False,0,15.17,False,False,0,0.16,1,1,0
2026-01-01 00:26:30,3,2,2,99,56.65,46.02,4,3,2,1,0,0,140.85,70,29,21.89,False,0,20.48,False,False,0,0.17,1,1,0
2026-01-01 00:27:00,1,0,2,207,57.67,69.77,6,3,2,1,0,0,160.69,200,7,17.42,False,0,3.79,False,False,0,0.17,1,1,0
2026-01-01 00:27:30,0,0,3,36,51.36,57.39,6,3,2,1,0,0,123.29,80,44,25.4,False,0,24.1,False,False,0,0.15,1,1,0
2026-01-01 00:28:00,5,4,2,119,49.03,55.14,4,3,2,1,0,0,122.0,120,1,18.08,False,0,1.41,False,False,0,0.15,1,1,0
2026-01-01 00:28:30,5,3,0,140,57.32,81.01,7,3,2,1,0,0,127.4,120,20,18.65,False,0,0.0,False,False,0,0.17,1,1,0
2026-01-01 00:29:00,2,4,0,115,46.12,61.84,9,3,2,1,0,0,123.68,130,15,17.56,False,0,0.0,False,False,0,0.14,1,1,0
2026-01-01 00:29:30,1,2,1,209,59.58,53.28,6,3,2,1,0,0,149.28,200,9,14.99,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:30:00,1,0,4,205,51.61,57.71,5,3,2,1,0,0,165.99,200,5,11.99,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:30:30,3,5,1,72,39.81,64.64,0,3,2,1,0,0,137.8,70,2,9.0,False,0,0.0,False,False,0,0.12,1,1,0
2026-01-01 00:31:00,6,4,0,130,63.22,48.92,6,3,2,1,0,0,135.46,100,30,15.3,False,0,6.31,False,False,0,0.19,1,1,0
2026-01-01 00:31:30,1,5,0,192,45.75,56.94,8,3,2,1,0,0,152.42,200,8,13.11,False,0,0.0,False,False,0,0.14,1,1,0
2026-01-01 00:32:00,0,1,3,105,42.53,66.74,10,3,2,1,0,0,138.19,80,25,16.68,False,0,1.31,False,False,0,0.13,1,1,0
2026-01-01 00:32:30,4,2,2,168,40.21,54.55,3,3,2,1,0,0,147.14,150,18,17.07,False,0,0.0,False,False,0,0.12,1,1,0
2026-01-01 00:33:00,5,3,1,141,59.24,70.74,1,3,2,1,0,0,145.29,120,21,18.25,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:33:30,0,0,4,58,65.23,60.12,1,3,2,1,0,0,119.11,80,22,19.38,False,0,0.0,False,False,0,0.2,1,1,0
2026-01-01 00:34:00,1,2,4,189,67.41,53.78,9,3,2,1,0,0,140.07,200,11,16.86,False,0,0.0,False,False,0,0.2,1,1,0
2026-01-01 00:34:30,0,0,1,80,54.4,57.13,5,3,2,1,0,0,122.05,80,0,11.8,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:35:00,5,3,0,110,51.37,72.39,3,3,2,1,0,0,118.44,120,10,11.26,False,0,0.0,False,False,0,0.15,1,1,0
2026-01-01 00:35:30,3,5,1,62,69.62,70.7,0,3,2,1,0,0,101.51,70,8,10.28,False,0,0.0,False,False,0,0.21,1,1,0
2026-01-01 00:36:00,4,5,3,126,42.17,58.05,4,3,2,1,0,0,108.85,150,24,14.4,False,0,0.31,False,False,0,0.13,1,1,0
2026-01-01 00:36:30,2,3,0,142,70.03,63.12,4,3,2,1,0,0,118.8,130,12,13.68,False,0,0.0,False,False,0,0.21,1,1,0
2026-01-01 00:37:00,4,6,3,143,60.82,60.76,9,3,2,1,0,0,126.06,150,7,11.68,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:37:30,2,6,4,99,44.25,51.83,4,3,2,1,0,0,117.94,130,31,17.47,False,0,7.31,False,False,0,0.13,1,1,0
2026-01-01 00:38:00,4,5,0,130,52.95,48.44,5,3,2,1,0,0,121.56,150,20,18.23,False,0,3.62,False,False,0,0.16,1,1,0
2026-01-01 00:38:30,0,1,4,54,48.77,59.83,6,3,2,1,0,0,101.29,80,26,20.56,False,0,5.93,False,False,0,0.15,1,1,0
2026-01-01 00:39:00,1,5,2,221,44.76,44.85,1,3,2,1,0,0,137.2,200,21,20.69,False,0,3.24,False,False,0,0.13,1,1,0
2026-01-01 00:39:30,1,5,1,186,53.91,64.68,3,3,2,1,0,0,151.84,200,14,18.69,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:40:00,1,0,4,191,57.2,63.92,2,3,2,1,0,0,163.59,200,9,15.78,False,0,0.0,False,False,0,0.17,1,1,0
2026-01-01 00:40:30,6,5,3,71,56.08,53.05,6,3,2,1,0,0,135.81,100,29,19.75,False,0,5.31,False,False,0,0.17,1,1,0
2026-01-01 00:41:00,5,4,1,120,62.42,53.54,3,3,2,1,0,0,131.07,120,0,13.82,False,0,0.0,False,False,0,0.19,1,1,0
2026-01-01 00:41:30,6,2,2,82,61.69,59.8,3,3,2,1,0,0,116.35,100,18,15.08,False,0,0.0,False,False,0,0.19,1,1,0
2026-01-01 00:42:00,4,6,3,121,57.66,48.0,6,3,2,1,0,0,117.74,150,29,19.25,False,0,5.31,False,False,0,0.17,1,1,0
2026-01-01 00:42:30,3,1,0,73,59.99,51.39,5,3,2,1,0,0,104.32,70,3,14.38,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:43:00,6,5,2,94,62.81,46.31,8,3,2,1,0,0,101.22,100,6,11.86,False,0,0.0,False,False,0,0.19,1,1,0
2026-01-01 00:43:30,3,2,3,57,61.04,53.38,4,3,2,1,0,0,87.96,70,13,12.2,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:44:00,2,4,2,128,48.2,45.94,2,3,2,1,0,0,99.97,130,2,9.14,False,0,0.0,False,False,0,0.14,1,1,0
2026-01-01 00:44:30,0,1,0,69,50.5,55.55,6,3,2,1,0,0,90.68,80,11,9.7,False,0,0.0,False,False,0,0.15,1,1,0
2026-01-01 00:45:00,0,0,1,75,53.63,66.89,8,3,2,1,0,0,85.98,80,5,8.29,False,0,0.0,False,False,0,0.16,1,1,0
2026-01-01 00:45:30,6,4,1,113,55.17,52.35,5,3,2,1,0,0,94.08,100,13,9.7,False,0,0.0,False,False,0,0.17,1,1,0
2026-01-01 00:46:00,3,1,4,117,56.86,39.16,7,3,2,1,0,0,100.96,70,47,20.89,False,0,23.31,False,False,0,0.17,1,1,0
2026-01-01 00:46:30,2,3,1,112,53.99,55.32,4,3,2,1,0,0,104.27,130,18,20.02,False,0,17.62,False,False,0,0.16,1,1,0
2026-01-01 00:47:00,1,5,1,214,60.07,62.64,5,3,2,1,0,0,137.19,200,14,18.22,False,0,7.93,False,False,0,0.18,1,1,0
2026-01-01 00:47:30,0,1,4,99,67.0,62.74,8,3,2,1,0,0,125.73,80,19,18.45,False,0,3.24,False,False,0,0.2,1,1,0
2026-01-01 00:48:00,1,0,3,184,49.65,70.85,4,3,2,1,0,0,143.21,200,16,17.72,False,0,0.0,False,False,0,0.15,1,1,0
2026-01-01 00:48:30,5,3,3,110,64.11,63.26,5,3,2,1,0,0,133.25,120,10,15.4,False,0,0.0,False,False,0,0.19,1,1,0
2026-01-01 00:49:00,1,5,2,187,70.51,61.19,3,3,2,1,0,0,149.37,200,13,14.68,False,0,0.0,False,False,0,0.21,1,1,0
2026-01-01 00:49:30,0,1,1,63,58.36,61.97,3,3,2,1,0,0,123.46,80,17,15.38,False,0,0.0,False,False,0,0.18,1,1,0
2026-01-01 00:50:00,2,3,0,80,58.02,60.41,3,3,2,1,0,0,110.42,130,50,25.76,False,0,26.31,False,False,0,0.17,1,1,0
2026-01-01 00:50:30,0,0,3,113,69.17,65.23,8,3,2,1,0,0,111.2,80,33,27.93,False,0,35.62,False,False,0,0.21,1,1,0
2026-01-01 00:51:00,0,1,3,115,44.85,57.39,6,3,2,1,0,0,112.34,80,35,30.05,False,0,46.93,False,False,0,0.13,1,1,0
2026-01-01 00:51:30,5,3,2,138,49.06,60.87,2,3,2,1,0,0,120.04,120,18,26.44,False,0,41.24,False,False,0,0.15,1,1,0
2026-01-01 00:52:00,5,4,4,136,39.85,65.11,5,3,2,1,0,0,124.83,120,16,23.31,False,0,33.55,False,False,0,0.12,1,1,0
2026-01-01 00:52:30,1,5,4,198,45.19,35.88,3,3,2,1,0,0,146.78,200,2,16.91,False,0,11.86,False,False,0,0.14,1,1,0
2026-01-01 00:53:00,0,1,4,68,58.14,70.54,1,3,2,1,0,0,123.14,80,12,15.44,False,0,0.17,False,False,0,0.17,1,1,0
2026-01-01 00:53:30,1,5,2,198,68.76,59.7,2,3,2,1,0,0,145.6,200,2,11.41,False,0,0.0,False,False,0,0.21,1,1,0
