timestamp,service,endpoint,region,latency_ms,cpu_usage,memory_usage,queue_lag,status,error_code,severity,error_count,is_anomaly,ewma_latency,expected_base_latency,latency_deviation,ewma_latency_deviation_for_alert,ewma_alert,logdate,cusum,cusum_alert,combined_alert,persistence_score,incident_probability,priority
2026-01-01 00:00:00,notification-service,/login,Singapore,47,55.67,62.82,3,success,,low,0,0,47.0,70,23,23.0,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:00:30,investment-engine,/withdrawal,USA,95,64.41,61.42,4,success,,low,0,0,75.24,130,35,30.06,False,2026-01-01,11.32,False,False,0,0.22,Low
2026-01-01 00:01:00,trading-engine,/transfer,India,121,61.68,87.11,5,success,,low,0,0,96.13,100,21,25.92,False,2026-01-01,8.64,False,False,0,0.21,Low
2026-01-01 00:01:30,portfolio-service,/portfolio,India,121,68.11,49.57,4,success,,low,0,0,105.95,120,1,16.08,False,2026-01-01,0.0,False,False,0,0.24,Low
2026-01-01 00:02:00,payment-api,/withdrawal,India,189,44.38,49.07,4,success,,low,0,0,135.9,150,39,24.35,False,2026-01-01,15.32,False,False,0,0.15,Low
2026-01-01 00:02:30,investment-engine,/trade,USA,163,61.84,64.54,9,success,,low,0,0,145.11,130,33,27.29,False,2026-01-01,24.64,False,False,0,0.21,Low
2026-01-01 00:03:00,investment-engine,/withdrawal,USA,109,62.23,47.48,7,success,,low,0,0,133.31,130,21,25.23,False,2026-01-01,21.96,False,False,0,0.21,Low
2026-01-01 00:03:30,fraud-detection,/payment,Germany,188,66.77,63.8,8,success,,low,0,0,150.72,200,12,21.02,False,2026-01-01,10.28,False,False,0,0.23,Low
2026-01-01 00:04:00,trading-engine,/transfer,Singapore,123,49.07,58.46,5,success,,low,0,0,142.05,100,23,21.64,False,2026-01-01,9.6,False,False,0,0.17,Low
2026-01-01 00:04:30,portfolio-service,/trade,USA,155,52.07,63.75,5,success,,low,0,0,146.05,120,35,25.76,False,2026-01-01,20.92,False,False,0,0.18,Low
2026-01-01 00:05:00,payment-api,/transfer,USA,153,44.92,58.03,7,success,,low,0,0,148.18,150,3,18.8,False,2026-01-01,0.24,False,False,0,0.16,Low
2026-01-01 00:05:30,portfolio-service,/trade,USA,132,68.83,65.65,6,success,,low,0,0,143.26,120,12,16.73,False,2026-01-01,0.0,False,False,0,0.24,Low
2026-01-01 00:06:00,portfolio-service,/portfolio,UAE,129,53.07,58.78,3,success,,low,0,0,138.94,120,9,14.39,False,2026-01-01,0.0,False,False,0,0.18,Low
2026-01-01 00:06:30,investment-engine,/withdrawal,USA,131,60.45,78.37,2,success,,low,0,0,136.54,130,1,10.34,False,2026-01-01,0.0,False,False,0,0.21,Low
2026-01-01 00:07:00,fraud-detection,/transfer,Germany,216,51.96,54.42,5,success,,low,0,0,160.49,200,16,12.05,False,2026-01-01,0.0,False,False,0,0.18,Low
2026-01-01 00:07:30,fraud-detection,/transfer,Singapore,237,59.23,47.32,5,success,,low,0,0,183.52,200,37,19.56,False,2026-01-01,13.32,False,False,0,0.2,Low
2026-01-01 00:08:00,trading-engine,/trade,UAE,85,42.06,72.56,3,success,,low,0,0,153.9,100,15,18.19,False,2026-01-01,4.64,False,False,0,0.15,Low
2026-01-01 00:08:30,payment-api,/payment,USA,150,67.03,71.21,3,success,,low,0,0,152.72,150,0,12.72,False,2026-01-01,0.0,False,False,0,0.23,Low
2026-01-01 00:09:00,payment-api,/withdrawal,UAE,156,61.11,47.91,3,success,,low,0,0,153.71,150,6,10.7,False,2026-01-01,0.0,False,False,0,0.21,Low
2026-01-01 00:09:30,fraud-detection,/kyc,USA,210,48.07,60.39,4,success,,low,0,0,170.61,200,10,10.49,False,2026-01-01,0.0,False,False,0,0.17,Low
2026-01-01 00:10:00,auth-service,/kyc,Germany,88,55.55,44.28,10,success,,low,0,0,145.81,80,8,9.74,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:10:30,investment-engine,/trade,Singapore,106,59.22,55.67,4,success,,low,0,0,133.86,130,24,14.02,False,2026-01-01,0.32,False,False,0,0.2,Low
2026-01-01 00:11:00,auth-service,/login,Singapore,61,57.7,54.91,4,success,,low,0,0,112.0,80,19,15.52,False,2026-01-01,0.0,False,False,0,0.2,Low
2026-01-01 00:11:30,fraud-detection,/payment,USA,229,48.67,59.54,5,success,,low,0,0,147.11,200,29,19.56,False,2026-01-01,5.32,False,False,0,0.17,Low
2026-01-01 00:12:00,portfolio-service,/trade,USA,69,51.82,54.41,4,success,,low,0,0,123.67,120,51,28.99,False,2026-01-01,32.64,False,False,0,0.18,Low
2026-01-01 00:12:30,payment-api,/payment,USA,143,45.18,67.87,1,success,,low,0,0,129.47,150,7,22.4,False,2026-01-01,15.96,False,False,0,0.16,Low
2026-01-01 00:13:00,payment-api,/withdrawal,UAE,167,52.24,61.38,5,success,,low,0,0,140.73,150,17,20.78,False,2026-01-01,9.28,False,False,0,0.18,Low
2026-01-01 00:13:30,portfolio-service,/trade,Germany,117,51.31,65.31,5,success,,low,0,0,133.61,120,3,15.44,False,2026-01-01,0.0,False,False,0,0.18,Low
2026-01-01 00:14:00,trading-engine,/transfer,UAE,156,44.17,69.5,5,success,,low,0,0,140.33,100,56,27.61,False,2026-01-01,32.32,False,False,0,0.15,Low
2026-01-01 00:14:30,investment-engine,/trade,Germany,96,56.32,71.81,4,success,,low,0,0,127.03,130,34,29.53,False,2026-01-01,42.64,False,False,0,0.19,Low
2026-01-01 00:15:00,investment-engine,/withdrawal,UAE,117,54.0,80.68,5,success,,low,0,0,124.02,130,13,24.57,False,2026-01-01,31.96,False,False,0,0.19,Low
2026-01-01 00:15:30,portfolio-service,/trade,USA,116,50.93,59.61,6,success,,low,0,0,121.61,120,4,18.4,False,2026-01-01,12.28,False,False,0,0.18,Low
2026-01-01 00:16:00,trading-engine,/transfer,India,107,69.77,58.96,7,success,,low,0,0,117.23,100,7,14.98,False,2026-01-01,0.0,False,False,0,0.24,Low
2026-01-01 00:16:30,portfolio-service,/portfolio,Singapore,107,50.91,54.79,5,success,,low,0,0,114.16,120,13,14.39,False,2026-01-01,0.0,False,False,0,0.18,Low
2026-01-01 00:17:00,auth-service,/login,Singapore,113,56.63,56.41,6,success,,low,0,0,113.81,80,33,19.97,False,2026-01-01,9.32,False,False,0,0.2,Low
2026-01-01 00:17:30,portfolio-service,/trade,UAE,133,38.04,56.78,6,success,,low,0,0,119.57,120,13,17.88,False,2026-01-01,0.0,False,False,0,0.13,Low
2026-01-01 00:18:00,portfolio-service,/portfolio,Singapore,105,54.92,60.16,7,success,,low,0,0,115.2,120,15,17.02,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:18:30,payment-api,/transfer,India,140,54.56,67.09,1,success,,low,0,0,122.64,150,10,14.91,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:19:00,trading-engine,/transfer,UAE,109,59.07,51.8,3,success,,low,0,0,118.55,100,9,13.14,False,2026-01-01,0.0,False,False,0,0.2,Low
2026-01-01 00:19:30,payment-api,/withdrawal,Germany,127,54.53,60.1,2,success,,low,0,0,121.08,150,23,16.1,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:20:00,fraud-detection,/kyc,USA,164,44.82,81.41,4,success,,low,0,0,133.96,200,36,22.07,False,2026-01-01,12.32,False,False,0,0.15,Low
2026-01-01 00:20:30,fraud-detection,/payment,UAE,209,63.57,74.22,5,success,,low,0,0,156.47,200,9,18.15,False,2026-01-01,0.0,False,False,0,0.22,Low
2026-01-01 00:21:00,notification-service,/payment,Singapore,93,54.11,64.37,6,success,,low,0,0,137.43,70,23,19.6,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:21:30,investment-engine,/trade,Singapore,116,58.98,69.78,1,success,,low,0,0,131.0,130,14,17.92,False,2026-01-01,0.0,False,False,0,0.2,Low
2026-01-01 00:22:00,auth-service,/login,Germany,67,50.4,67.58,6,success,,low,0,0,111.8,80,13,16.45,False,2026-01-01,0.0,False,False,0,0.17,Low
2026-01-01 00:22:30,investment-engine,/portfolio,Germany,136,50.96,74.59,2,success,,low,0,0,119.06,130,6,13.31,False,2026-01-01,0.0,False,False,0,0.18,Low
2026-01-01 00:23:00,payment-api,/payment,USA,157,32.95,61.76,6,success,,low,0,0,130.44,150,7,11.42,False,2026-01-01,0.0,False,False,0,0.11,Low
2026-01-01 00:23:30,investment-engine,/trade,Singapore,121,58.24,45.6,2,success,,low,0,0,127.61,130,9,10.69,False,2026-01-01,0.0,False,False,0,0.2,Low
2026-01-01 00:24:00,notification-service,/payment,India,97,50.91,47.34,2,success,,low,0,0,118.43,70,27,15.58,False,2026-01-01,3.32,False,False,0,0.18,Low
2026-01-01 00:24:30,investment-engine,/portfolio,UAE,159,48.37,42.08,3,success,,low,0,0,130.6,130,29,19.61,False,2026-01-01,8.64,False,False,0,0.17,Low
2026-01-01 00:25:00,notification-service,/login,UAE,78,46.83,72.26,5,success,,low,0,0,114.82,70,8,16.13,False,2026-01-01,0.0,False,False,0,0.16,Low
2026-01-01 00:25:30,auth-service,/kyc,USA,69,46.4,57.9,8,success,,low,0,0,101.07,80,11,14.59,False,2026-01-01,0.0,False,False,0,0.16,Low
2026-01-01 00:26:00,investment-engine,/portfolio,USA,141,47.31,75.94,1,success,,low,0,0,113.05,130,11,13.51,False,2026-01-01,0.0,False,False,0,0.16,Low
2026-01-01 00:26:30,notification-service,/login,Singapore,51,56.05,52.31,7,success,,low,0,0,94.44,70,19,15.16,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:27:00,investment-engine,/trade,USA,113,53.02,61.75,8,success,,low,0,0,100.01,130,17,15.71,False,2026-01-01,0.0,False,False,0,0.18,Low
2026-01-01 00:27:30,auth-service,/login,Singapore,97,45.04,75.82,7,success,,low,0,0,99.1,80,17,16.1,False,2026-01-01,0.0,False,False,0,0.16,Low
2026-01-01 00:28:00,trading-engine,/payment,India,139,44.82,54.96,5,success,,low,0,0,111.07,100,39,22.97,False,2026-01-01,15.32,False,False,0,0.15,Low
2026-01-01 00:28:30,auth-service,/kyc,UAE,61,47.28,55.28,4,success,,low,0,0,96.05,80,19,21.78,False,2026-01-01,10.64,False,False,0,0.16,Low
2026-01-01 00:29:00,fraud-detection,/payment,UAE,174,36.34,52.67,5,success,,low,0,0,119.44,200,26,23.04,False,2026-01-01,12.96,False,False,0,0.13,Low
2026-01-01 00:29:30,portfolio-service,/trade,Singapore,136,60.6,81.13,3,success,,low,0,0,124.4,120,16,20.93,False,2026-01-01,5.28,False,False,0,0.21,Low
2026-01-01 00:30:00,investment-engine,/trade,UAE,138,66.68,79.15,3,success,,low,0,0,128.48,130,8,17.05,False,2026-01-01,0.0,False,False,0,0.23,Low
2026-01-01 00:30:30,portfolio-service,/trade,USA,103,74.47,61.45,6,success,,low,0,0,120.84,120,17,17.04,False,2026-01-01,0.0,False,False,0,0.26,Low
2026-01-01 00:31:00,trading-engine,/transfer,Singapore,109,66.45,61.91,6,success,,low,0,0,117.29,100,9,14.63,False,2026-01-01,0.0,False,False,0,0.23,Low
2026-01-01 00:31:30,investment-engine,/portfolio,Singapore,113,65.91,55.13,0,success,,low,0,0,116.0,130,17,15.34,False,2026-01-01,0.0,False,False,0,0.23,Low
2026-01-01 00:32:00,fraud-detection,/payment,Germany,185,49.21,85.96,4,success,,low,0,0,136.7,200,15,15.24,False,2026-01-01,0.0,False,False,0,0.17,Low
2026-01-01 00:32:30,investment-engine,/withdrawal,Germany,131,41.49,70.17,4,success,,low,0,0,134.99,130,1,10.97,False,2026-01-01,0.0,False,False,0,0.14,Low
2026-01-01 00:33:00,trading-engine,/payment,India,115,52.59,62.65,4,success,,low,0,0,128.99,100,15,12.18,False,2026-01-01,0.0,False,False,0,0.18,Low
2026-01-01 00:33:30,investment-engine,/withdrawal,Germany,153,49.95,40.39,7,success,,low,0,0,136.2,130,23,15.42,False,2026-01-01,0.0,False,False,0,0.17,Low
2026-01-01 00:34:00,notification-service,/login,Germany,77,56.18,65.24,5,success,,low,0,0,118.44,70,7,12.9,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:34:30,payment-api,/payment,Germany,134,56.27,78.42,1,success,,low,0,0,123.11,150,16,13.83,False,2026-01-01,0.0,False,False,0,0.19,Low
2026-01-01 00:35:00,fraud-detection,/payment,India,239,46.22,63.62,9,success,,low,0,0,157.87,200,39,21.38,False,2026-01-01,15.32,False,False,0,0.16,Low
2026-01-01 00:35:30,payment-api,/withdrawal,USA,163,40.71,45.89,5,success,,low,0,0,159.41,150,13,18.87,False,2026-01-01,4.64,False,False,0,0.14,Low
2026-01-01 00:36:00,investment-engine,/trade,UAE,151,48.49,66.52,8,success,,low,0,0,156.89,130,21,19.51,False,2026-01-01,1.96,False,False,0,0.17,Low
2026-01-01 00:36:30,payment-api,/payment,UAE,110,62.84,54.51,1,success,,low,0,0,142.82,150,40,25.65,False,2026-01-01,18.28,False,False,0,0.22,Low
2026-01-01 00:37:00,payment-api,/transfer,USA,166,58.46,29.66,6,success,,low,0,0,149.78,150,16,22.76,False,2026-01-01,10.6,False,False,0,0.2,Low
2026-01-01 00:37:30,trading-engine,/transfer,Germany,81,59.97,67.65,7,success,,low,0,0,129.14,100,19,21.63,False,2026-01-01,5.92,False,False,0,0.21,Low
