timestamp,service,endpoint,region,latency_ms,cpu_usage,memory_usage,queue_lag,amount,error_code,severity,status,error_count,anomaly_probability_%,is_anomaly,client_id,machine_id,resource_stress_score
2026-06-23 14:15:15,fraud-detection,/payment,ap-southeast-1,244,248,597,10,0.0,,Healthy,Success,9,0,0,CUST-134098,DEV-MAC-75825,3.8297
2026-06-23 14:15:16,payment-api,/transfer,eu-west-1,54,174,362,15,7894.27,ERR-101,Low,Failure,10,28,1,CUST-123456,DEV-WIN-84725,4.476
2026-06-23 14:15:17,trading-engine,/trade,us-west-2,40,239,166,25,6072.31,ERR-306,Medium,Failure,3,80,1,CUST-112349,DEV-LIN-11235,16.2876
2026-06-23 14:15:17,ledger-service,/balance_check,us-east-1,383,164,272,46,0.0,ERR-304,Low,Failure,9,33,1,CUST-109482,DEV-MAC-0149A5,31.9667
2026-06-23 14:15:18,fraud-detection,/payment,ap-southeast-1,87,210,67,30,0.0,ERR-903,Medium,Failure,19,70,1,CUST-123456,DEV-WIN-84725,4.1704
2026-06-23 14:15:18,payment-api,/withdrawal,us-west-2,369,214,612,17,4737.97,,Healthy,Success,13,5,0,CUST-123456,DEV-LIN-11235,7.4527
2026-06-23 14:15:19,ledger-service,/balance_check,us-east-1,346,191,121,12,0.0,ERR-306,Medium,Failure,12,68,1,CUST-100483,DEV-MAC-75825,22.3167
2026-06-23 14:15:20,payment-api,/transfer,ap-southeast-1,36,136,639,37,1402.13,,Healthy,Success,9,3,0,CUST-123456,DEV-MAC-75825,6.939
2026-06-23 14:15:20,ledger-service,/balance_check,ap-southeast-1,184,215,627,1,0.0,ERR-101,Low,Failure,8,22,1,CUST-109482,DEV-WIN-99325,23.95
2026-06-23 14:15:21,ledger-service,/balance_check,ap-southeast-1,185,112,563,39,0.0,ERR-701,Low,Failure,15,22,1,CUST-109482,DEV-LIN-11235,27.0833
2026-06-23 14:15:22,auth-service,/login,us-east-1,46,47,72,4,0.0,ERR-904,Low,Failure,3,36,1,CUST-134098,DEV-MAC-75825,3.215
2026-06-23 14:15:23,fraud-detection,/payment,us-east-1,147,76,588,48,0.0,ERR-203,Low,Failure,1,25,1,CUST-112349,DEV-WIN-84725,6.5442
2026-06-23 14:15:23,ledger-service,/balance_check,eu-west-1,130,178,169,5,0.0,ERR-902,Low,Failure,7,31,1,CUST-109482,DEV-WIN-99325,14.0833
2026-06-23 14:15:24,trading-engine,/trade,ap-southeast-1,57,241,533,50,5974.95,,Normal,Success,16,10,0,CUST-134098,DEV-MAC-75825,30.6443
2026-06-23 14:15:25,payment-api,/transfer,eu-west-1,52,159,189,7,210.56,ERR-705,High,Failure,20,86,1,CUST-134098,DEV-LIN-11235,2.9447
2026-06-23 14:15:25,ledger-service,/balance_check,us-east-1,70,228,99,9,0.0,,Healthy,Success,13,4,0,CUST-109482,DEV-LIN-11235,13.3833
2026-06-23 14:15:25,auth-service,/login,us-west-2,46,46,74,4,0.0,ERR-303,Low,Failure,16,27,1,CUST-123456,DEV-WIN-99325,3.22
2026-06-23 14:15:26,ledger-service,/balance_check,us-west-2,333,140,127,44,0.0,,Normal,Success,10,15,0,CUST-112349,DEV-WIN-84725,26.6833
2026-06-23 14:15:27,trading-engine,/trade,us-west-2,330,117,147,40,5385.29,ERR-107,Critical,Failure,13,100,1,CUST-109482,DEV-WIN-84725,42.6771
2026-06-23 14:15:27,fraud-detection,/payment,ap-southeast-1,25,113,461,15,0.0,ERR-203,Low,Failure,12,24,1,CUST-123456,DEV-WIN-84725,2.3994
2026-06-23 14:15:27,ledger-service,/balance_check,us-west-2,52,227,268,36,0.0,ERR-206,Low,Failure,4,21,1,CUST-134098,DEV-WIN-99325,20.9667
2026-06-23 14:15:28,ledger-service,/balance_check,eu-west-1,373,191,462,39,0.0,ERR-209,Low,Failure,13,22,1,CUST-112349,DEV-MAC-0149A5,34.3
2026-06-23 14:15:28,auth-service,/login,eu-west-1,45,46,79,4,0.0,ERR-705,Low,Failure,2,23,1,CUST-112349,DEV-MAC-75825,3.27
2026-06-23 14:15:28,trading-engine,/trade,ap-southeast-1,372,27,320,19,4936.44,,Healthy,Success,14,0,0,CUST-100483,DEV-MAC-0149A5,35.015
2026-06-23 14:15:29,fraud-detection,/payment,us-west-2,159,114,131,50,0.0,ERR-306,Medium,Failure,18,75,1,CUST-123456,DEV-MAC-0149A5,6.4729
