timestamp,service,endpoint,region,latency_ms,cpu_usage,memory_usage,queue_lag,amount,error_code,severity,status,error_count,anomaly_probability_%,is_anomaly,client_id,machine_id
2026-07-10T14:35:43,portfolio-service,/portfolio,ap-southeast-1,84ms,45m,674MiB,16ms,5867.34,ERR-701,Medium,Failure,17,74,1,CUST-134098,DEV-LIN-11235
2026-07-10T14:35:43,fraud-detection,/payment,us-west-2,160ms,100m,100MiB,12ms,0.0,ERR-903,High,Failure,14,90,1,CUST-100483,DEV-LIN-11235
2026-07-10T14:35:43,trading-engine,/trade,us-west-2,137ms,78m,56MiB,1ms,8486.9,ERR-108,Low,Failure,10,20,1,CUST-123456,DEV-WIN-99325
2026-07-10T14:35:43,auth-service,/logout,eu-west-1,41ms,16m,42MiB,4ms,0.0,ERR-000,Normal,Success,10,15,0,CUST-109482,DEV-MAC-75825
2026-07-10T14:35:43,ledger-service,/balance_check,us-west-2,26ms,16m,50MiB,5ms,0.0,ERR-201,Low,Failure,7,35,1,CUST-100483,DEV-LIN-11235
2026-07-10T14:35:53,payment-api,/deposit,us-west-2,363ms,144m,234MiB,31ms,3677.08,ERR-000,Healthy,Success,5,2,0,CUST-134098,DEV-WIN-99325
2026-07-10T14:35:53,trading-engine,/transfer,us-east-1,180ms,148m,590MiB,21ms,2491.43,ERR-210,Low,Failure,4,24,1,CUST-109482,DEV-MAC-75825
2026-07-10T14:35:53,ledger-service,/balance_check,us-west-2,5ms,11m,16MiB,2ms,0.0,ERR-000,Healthy,Success,14,2,0,CUST-134098,DEV-MAC-0149A5
2026-07-10T14:35:53,portfolio-service,/performance,ap-southeast-1,361ms,202m,753MiB,8ms,9516.98,ERR-108,Low,Failure,13,30,1,CUST-123456,DEV-WIN-99325
2026-07-10T14:35:53,notification-service,/transfer,us-west-2,286ms,57m,466MiB,46ms,0.0,ERR-206,Low,Failure,15,27,1,CUST-134098,DEV-MAC-75825
2026-07-10T14:36:03,fraud-detection,/payment,us-east-1,125ms,88m,90MiB,9ms,0.0,ERR-205,Low,Failure,13,39,1,CUST-109482,DEV-LIN-11235
2026-07-10T14:36:03,ledger-service,/balance_check,us-west-2,31ms,22m,54MiB,5ms,0.0,ERR-903,High,Failure,2,83,1,CUST-123456,DEV-WIN-99325
2026-07-10T14:36:03,notification-service,/transfer,us-west-2,201ms,128m,123MiB,3ms,0.0,ERR-705,Low,Failure,7,40,1,CUST-109482,DEV-WIN-84725
2026-07-10T14:36:03,payment-api,/withdrawal,us-west-2,156ms,76m,60MiB,15ms,6232.05,ERR-205,Low,Failure,16,29,1,CUST-109482,DEV-WIN-84725
2026-07-10T14:36:03,trading-engine,/payment,us-east-1,303ms,249m,411MiB,16ms,3078.82,ERR-110,Low,Failure,6,23,1,CUST-123456,DEV-MAC-0149A5
2026-07-10T14:36:13,portfolio-service,/performance,us-east-1,168ms,115m,145MiB,46ms,10967.53,ERR-000,Healthy,Success,14,5,0,CUST-134098,DEV-WIN-99325
2026-07-10T14:36:13,auth-service,/logout,us-east-1,48ms,18m,49MiB,5ms,0.0,ERR-904,Low,Failure,10,24,1,CUST-134098,DEV-WIN-99325
2026-07-10T14:36:13,trading-engine,/transfer,us-east-1,144ms,51m,214MiB,50ms,6352.5,ERR-109,Medium,Failure,4,63,1,CUST-100483,DEV-MAC-0149A5
2026-07-10T14:36:13,investment-engine,/portfolio,ap-southeast-1,205ms,90m,100MiB,36ms,14481.88,ERR-901,High,Failure,4,87,1,CUST-100483,DEV-MAC-75825
2026-07-10T14:36:13,fraud-detection,/kyc,eu-west-1,374ms,105m,445MiB,49ms,0.0,ERR-108,Medium,Failure,4,62,1,CUST-100483,DEV-WIN-84725
2026-07-10T14:36:23,fraud-detection,/transfer,us-east-1,235ms,97m,451MiB,46ms,0.0,ERR-000,Healthy,Success,1,0,0,CUST-100483,DEV-LIN-11235
2026-07-10T14:36:23,notification-service,/login,us-east-1,37ms,248m,379MiB,49ms,0.0,ERR-304,Low,Failure,4,30,1,CUST-134098,DEV-WIN-99325
2026-07-10T14:36:23,payment-api,/transfer,ap-southeast-1,141ms,66m,54MiB,15ms,8270.85,ERR-110,Low,Failure,11,22,1,CUST-100483,DEV-WIN-99325
2026-07-10T14:36:23,ledger-service,/balance_check,us-west-2,29ms,18m,50MiB,5ms,0.0,ERR-104,Low,Failure,5,30,1,CUST-123456,DEV-MAC-75825
2026-07-10T14:36:23,portfolio-service,/performance,us-west-2,166ms,178m,201MiB,47ms,7144.17,ERR-000,Healthy,Success,1,3,0,CUST-109482,DEV-LIN-11235
2026-07-10T14:36:33,portfolio-service,/trade,us-west-2,343ms,122m,63MiB,49ms,13865.08,ERR-110,Low,Failure,6,40,1,CUST-109482,DEV-MAC-0149A5
2026-07-10T14:36:33,ledger-service,/balance_check,eu-west-1,28ms,20m,47MiB,5ms,0.0,ERR-109,Low,Failure,7,22,1,CUST-112349,DEV-WIN-99325
2026-07-10T14:36:33,investment-engine,/portfolio,us-east-1,199ms,81m,87MiB,30ms,14973.42,ERR-104,Low,Failure,1,26,1,CUST-123456,DEV-MAC-75825
