timestamp,service,endpoint,region,latency_ms,cpu_usage,memory_usage,queue_lag,amount,error_code,severity,status,error_count,anomaly_probability_%,is_anomaly,client_id,machine_id
2026-06-23 11:45:53,investment-engine,/withdrawal,eu-west-1,330ms,233m,73MiB,44ms,14342.21,ERR-902,Critical,Failure,7,97,1,CUST-112349,DEV-MAC-75825
2026-06-23 11:45:53,trading-engine,/payment,us-west-2,31ms,28m,644MiB,13ms,4889.4,ERR-901,Critical,Failure,7,91,1,CUST-112349,DEV-LIN-11235
2026-06-23 11:45:53,payment-api,/payment,us-east-1,123ms,98m,170MiB,12ms,1751.77,ERR-208,Normal,Success,5,12,1,CUST-109482,DEV-LIN-11235
2026-06-23 11:45:53,fraud-detection,/payment,us-east-1,124ms,182m,519MiB,10ms,0.0,ERR-109,Normal,Success,15,11,1,CUST-123456,DEV-MAC-0149A5
2026-06-23 11:45:53,auth-service,/logout,ap-southeast-1,25ms,13m,34MiB,1ms,0.0,,Healthy,Success,17,3,0,CUST-134098,DEV-WIN-84725
2026-06-23 11:45:54,auth-service,/kyc,ap-southeast-1,66ms,59m,80MiB,5ms,0.0,ERR-305,Normal,Success,15,8,1,CUST-109482,DEV-WIN-84725
2026-06-23 11:45:54,investment-engine,/withdrawal,eu-west-1,196ms,165m,732MiB,13ms,5112.91,ERR-901,Critical,Failure,12,91,1,CUST-112349,DEV-WIN-84725
2026-06-23 11:45:54,trading-engine,/transfer,eu-west-1,251ms,75m,562MiB,38ms,6671.87,ERR-901,Critical,Failure,5,94,1,CUST-112349,DEV-WIN-84725
2026-06-23 11:45:54,fraud-detection,/kyc,ap-southeast-1,86ms,111m,399MiB,2ms,0.0,,Healthy,Success,14,1,0,CUST-112349,DEV-WIN-84725
2026-06-23 11:45:54,portfolio-service,/portfolio,us-west-2,390ms,229m,665MiB,27ms,6367.72,ERR-901,Critical,Failure,18,95,1,CUST-112349,DEV-WIN-99325
2026-06-23 11:45:55,trading-engine,/transfer,eu-west-1,167ms,177m,473MiB,35ms,4945.07,ERR-904,Critical,Failure,3,94,1,CUST-134098,DEV-LIN-11235
2026-06-23 11:45:55,payment-api,/withdrawal,us-west-2,96ms,180m,785MiB,46ms,6075.89,ERR-901,Critical,Failure,16,94,1,CUST-134098,DEV-WIN-99325
2026-06-23 11:45:55,investment-engine,/portfolio,us-east-1,209ms,18m,192MiB,7ms,6529.69,,Healthy,Success,17,3,0,CUST-100483,DEV-MAC-75825
